,Datetime,Likes_Count,retweet_Count,Tweet Id,Text,Username
0,2021-05-01 08:12:04+00:00,63,0,1388405849538846721,@womensart1 I've started on 3 roller blinds and a shed door it seems I have a long way to go! https://t.co/0qhyef9Wgr,the__flowerlady
1,2021-05-01 07:02:20+00:00,25,0,1388388300893925381,"#sixonsaturday shaking off last weeks anxiety attacks by use of my worry journal, creativity projects, by the luck of being a good manager &amp; the support of my rock solid husband.

I'm looking forward to a weekend in the garden &amp; feeling in the pink. 

Happy Gardening x. https://t.co/CWM0OewtNl",the__flowerlady
2,2021-05-01 06:53:11+00:00,0,0,1388385998170726400,"@MissHistorygal This reminds me of 2 books I've read lately: The Fortnight In September &amp; Mr Finchley Discovers His England, both from the thirties. Both describe the shedding of the home/work life mode and the donning of casual holiday clothes &amp; this as a representation of freed personalities.",the__flowerlady
3,2021-04-26 20:32:50+00:00,10,3,1386780331030814720,"#GardensHour thank you for setting this topic. My garden is my mental and emotional saviour. I have written what it means to me here:

https://t.co/Txdjevnjf2

My hubby encourages me to spend time in the garden, it frees me to be happy and joyful once more. #anxietyrelief",the__flowerlady
4,2021-04-26 20:25:42+00:00,4,0,1386778535679995918,"@GardensHour I suffer with anxiety &amp; ocd. I also have chronic fatigue syndrome. I have found the best thing for all of them is gentle plodding working in the garden. The fresh air, the sunshine, the beauty of the plants &amp; insects and the sense of achievement all help to make you feel better.",the__flowerlady
5,2021-04-24 06:01:13+00:00,7,0,1385836203824623618,"#sixonsaturday #anxiety has kicked in this week &amp; I feel like a bell over-rung. No doubt this has been triggered by the selling of my parent's house, the house I grew up in &amp; which has been in the family for four generations.

So stepping up the techniques that helped before. https://t.co/B0UvzFXSsj",the__flowerlady
6,2021-04-17 06:19:24+00:00,25,0,1383304064486703109,#SixOnSaturday well this has been a good week. With the help of my lovely hubby I've got my https://t.co/rN2MbmbDVq totally up to date. Other major projects are also moving steadily along the conveyor belt of life with a return to my creative life bringing up the rear (hurrah). https://t.co/PatPQ4iDUT,the__flowerlady
7,2021-04-03 06:37:14+00:00,15,1,1378235125549400064,"#sixonsaturday well in a week of surprisingly hot and brrr back to chilly these crimson geraniums have begun to sing in the #greenhouse. They bring cheer every time I spot them.

Pain sensation high and a bit overwhelmed with too much chat so taking refuge in gh seed setting. https://t.co/9CeiL3iPem",the__flowerlady
8,2021-03-29 15:39:20+00:00,0,0,1376559607095648262,Blowy day in the garden... butterfly on grape hyacinth flower in my garden. https://t.co/UvwSFjE2I8 via @YouTube My first attempt at video. This is what i see through my window.,the__flowerlady
9,2021-03-27 07:32:14+00:00,13,0,1375712248497369088,"#SixOnSaturday another busy week.

Much tidying and sorting. Thankfully found time to give the whole #garden a spring haircut. All the flowers now shine even more brightly.

At last began my @oustudy course Science Plants and People.

#flowers #gardening #flowerphotography https://t.co/76uLwHuQoF",the__flowerlady
10,2021-03-20 07:19:03+00:00,20,2,1373172217903730689,"#sixonsaturday grey, cold &amp; damp but nevertheless the garden is sending up markers of the joys to come &amp; abounds with spring bulbs.

Lots of people commenting on the changes to the gardens &amp; lovely social distanced chat over the new gate, which has been much admired.

#flowers https://t.co/gZowYQz3gT",the__flowerlady
11,2021-03-13 16:29:55+00:00,1,0,1370774132636389379,@FleursHerbes Thank you Marie. :),the__flowerlady
12,2021-03-13 06:21:54+00:00,18,3,1370621121591119873,"#sixonsaturday Had to dig in this week to get so much accomplished. Sifting, sorting, cleaning, moving; on a conveyer belt of getting things done. There are physical consequences of trying to work like a machine once more. But I know it's a moment of time not a return for good. https://t.co/E8q0hIYd9c",the__flowerlady
13,2021-03-06 06:15:19+00:00,7,0,1368082746971729921,"#sixonsaturday lovely to welcome blue skies &amp; sunshine last weekend.

Another very busy week. Hopefully the 3 year quest to clear the decks &amp; retire is moving to it's conclusion.

At the end better self-care, rest, fun, adventure, discovery, photography &amp; gardening

#photography https://t.co/ZqwBcnl5Ni",the__flowerlady
14,2021-03-04 12:04:16+00:00,1,0,1367445787211366402,@FleursHerbes Thank you Maria. :),the__flowerlady
15,2021-02-27 06:22:28+00:00,19,1,1365547831268945927,"#sixonsaturday spotted the first of the oh so lovely anemone blanda #flowers.

Some relief crept in this week as several pieces of a big two house/garden project fell into place. I am very thankful for that. 

Thanks for delicious sunshine &amp; blue skies.

 #photography #gardening https://t.co/VZJhXY4045",the__flowerlady
16,2021-02-20 13:05:15+00:00,1,0,1363112479899926531,"@astorey43 @TheMontyDon Thank you Ana, I really appreciated your kind words. :)",the__flowerlady
17,2021-02-20 13:03:43+00:00,11,2,1363112093369724933,"#SixOnSaturday it's been a good week.

Had a lovely birthday; cards presents &amp; flowers what could be nicer.

The weather is warmer.

A heavy duty project, including demolishing a garage, has come together &amp; I've even managed to do some planting.

#photography #flowers #gardening https://t.co/wgjyy868zL",the__flowerlady
18,2021-02-13 06:26:49+00:00,27,2,1360475496786628608,"#sixonsaturday I'm dedicating this one to @TheMontyDon , who like me, I believe loves violas.

 I have a lot on my plate. As I am managing my day time #anxiety symptoms quite well now my sleep seems to be suffering instead. More self-care ahead.

#gardening #flowers #photography https://t.co/NrQ1OVEcjD",the__flowerlady
19,2021-02-08 11:17:25+00:00,1,0,1358736689636777992,"@KyneRichard @sportsshoes_com @KEEN @Hermesparcels Thank you Richard, I think that's the way it's going to go.",the__flowerlady
20,2021-02-08 10:58:06+00:00,1,0,1358731827519901696,At the end of my tether. I still have not had a refund from @sportsshoes_com after sending the @keen boots back nearly 2 months ago. @Hermesparcels have not even bothered to reply to the email I sent them at the request of a supervisor at SportsShoes. No one cares... very sad.,the__flowerlady
21,2021-02-06 06:26:53+00:00,32,3,1357938797435092993,"#sixonsaturday dealing with a big bundle of #stress this week. Thankful for the number of techniques I have for dealing with it. 

Foremost pulling on my gardening boots &amp; gloves and just getting on with stuff.

#stressmanagement  #photography #flowers #gardening #clumberpark https://t.co/ipnjdK4pzk",the__flowerlady
22,2021-02-02 18:07:11+00:00,0,0,1356665482628132867,"@Ocado I have already spoken to Ocado on numerous occasions and it just keeps happening.

I only took the photos because I was embarrassed to keep claiming.

The apples are from the ethical food company. They used to be packed in a cardboard tray but now just a cellophane bag.",the__flowerlady
23,2021-02-02 13:02:44+00:00,0,0,1356588864534704128,"@Ocado I have already made a claim. I just feel upset I have to make this claim so often. I have many eating intolerances but can eat these apples, hence why I keep ordering them.",the__flowerlady
24,2021-02-01 21:25:30+00:00,1,0,1356353001884160000,@GrimArtGroup Grim playwrights Pinter or Wesker? https://t.co/MwVG3lOCeM,the__flowerlady
25,2021-01-30 12:00:15+00:00,3,0,1355485978178314240,"@GrimArtGroup &amp; others Grims

I walked past this railway embankment cupboard yesterday and I thought of you. https://t.co/jSanN0OpF8",the__flowerlady
26,2021-01-30 11:57:38+00:00,0,0,1355485320574328834,@GrimArtGroup #rustweekend building selection: https://t.co/vy1evIrcxk,the__flowerlady
27,2021-01-30 11:55:07+00:00,3,0,1355484684076150784,@GrimArtGroup #rustartweekend vehicle selection. https://t.co/VGQLkPTP3y,the__flowerlady
28,2021-01-30 07:23:26+00:00,16,1,1355416313318027268,"#sixonsaturday In case I slip up again here are some phrases I'm trying to eliminate or have eliminated from my mental vocabulary: 

What if
If only
Just in case
I should have
It's never going to end
I'm broken

My life is so much happier without them.

#anxietyrelief #flowers https://t.co/H42zhGtk8k",the__flowerlady
29,2021-01-28 11:50:38+00:00,0,0,1354758781327056900,UK Parliament: Allow one family member to attend euthanasia of family pet - Sign the Petition! https://t.co/J6o5MbclDv via @UKChange,the__flowerlady
30,2021-01-27 15:30:16+00:00,2,0,1354451667920543749,"#LightTheDarkness 

Just got my candles ready for tonight.

We will be remembering the victims of the Holocaust and genoside tonight, and their families. 

May the candle of remembrance always burn in our hearts for them. https://t.co/Eevfhkxk6w",the__flowerlady
31,2021-01-27 10:08:27+00:00,0,0,1354370680880508928,"@Halfords_uk I have been without my electric bike for nearly 2 months. I have mobility issues &amp; it is much needed. Please see longer thread Tweet for details.

The battery is faulty and you have not been able to supply an awake one.

This problem began on the 2 nd of November. https://t.co/OixKZkA2RZ",the__flowerlady
32,2021-01-27 10:03:56+00:00,0,0,1354369541443358728,"I would like to say that while I am not disabled my ability to walk or cycle medium to long distance is impaired by Chronic Fatigue Syndrome/Fibromyalgia. Hence why I have an electric bike. 

Halfords have had my battery since 2 nd November. Please see next Tweet. https://t.co/r4SzzgYfpB",the__flowerlady
33,2021-01-27 08:40:19+00:00,0,0,1354348498418884610,Government : A bee-killing pesticide banned by the EU has been approved for use by sugar beet farmers - Sign the Petition! https://t.co/rgRXWdHK9Y via @UKChange,the__flowerlady
34,2021-01-25 14:42:19+00:00,1,0,1353714822999846917,@sportsshoes_com A supervisor has been in touch with me and is helping me with my enquiry.,the__flowerlady
